ID,Date,Element,Data_Value
UPM00033966,2005-12-02,TMIN,86
UPM00033966,2005-11-30,TMAX,146
UPM00033966,2007-04-15,TMAX,100
UPM00033966,2007-04-01,TMAX,130
UPM00033966,2008-04-17,TMIN,77
UPM00033961,2005-09-12,TMIN,177
UPM00033961,2005-03-04,TMIN,-24
UPM00033962,2005-01-06,TMIN,6
UPM00033961,2005-06-24,TMAX,245
UPM00033962,2006-05-05,TMIN,57
UPM00033966,2006-08-21,TMAX,343
UPM00033962,2005-01-19,TMIN,22
UPM00033962,2005-05-16,TMAX,202
UPM00033961,2007-02-06,TMIN,-49
UPM00033966,2007-12-18,TMIN,-44
UPM00033966,2005-09-28,TMAX,242
UPM00033966,2005-10-20,TMAX,70
UPM00033961,2005-04-13,TMIN,86
UPM00033966,2006-12-16,TMIN,53
UPM00033966,2005-03-22,TMAX,22
UPM00033966,2006-06-13,TMIN,95
UPM00033961,2006-03-16,TMIN,12
UPM00033961,2007-01-22,TMIN,48
UPM00033962,2007-02-02,TMIN,1
UPM00033962,2005-05-16,TMIN,59
UPM00033966,2005-11-30,TMIN,21
UPM00033966,2005-07-03,TMAX,269
UPM00033966,2006-02-01,TMIN,-14
UPM00033962,2005-01-19,TMAX,30
UPM00033962,2008-09-13,TMIN,102
UPM00033961,2009-03-04,TMIN,-1
UPM00033961,2006-05-02,TMIN,97
UPM00033966,2005-11-28,TMIN,127
UPM00033961,2005-04-16,TMIN,61
UPM00033966,2008-06-26,TMIN,137
UPM00033961,2007-07-26,TMIN,215
UPM00033962,2005-07-31,TMAX,322
UPM00033962,2007-01-20,TMIN,13
UPM00033961,2007-11-10,TMIN,27
UPM00033966,2008-06-11,TMIN,91
UPM00033962,2008-09-18,TMIN,166
UPM00033966,2008-07-16,TMAX,322
UPM00033966,2009-03-19,TMAX,88
UPM00033966,2005-09-20,TMIN,184
UPM00033962,2009-03-18,TMIN,-38
UPM00033961,2008-09-03,TMIN,140
UPM00033961,2006-04-06,TMIN,61
UPM00033961,2005-12-01,TMAX,106
UPM00033962,2008-07-19,TMAX,321
UPM00033962,2009-02-15,TMAX,88
UPM00033962,2006-02-22,TMIN,-18
UPM00033961,2006-11-28,TMAX,70
UPM00033962,2009-03-18,TMAX,96
UPM00033961,2005-12-01,TMIN,56
UPM00033966,2008-06-24,TMIN,137
UPM00033962,2006-03-09,TMIN,-49
UPM00033961,2008-03-11,TMIN,29
UPM00033966,2006-11-23,TMIN,2
UPM00033966,2006-06-27,TMIN,169
UPM00033961,2005-09-16,TMAX,264
UPM00033966,2006-04-08,TMIN,59
UPM00033966,2006-02-16,TMAX,6
UPM00033966,2006-09-22,TMAX,230
UPM00033961,2008-01-02,TMIN,-31
UPM00033961,2006-09-04,TMAX,276
UPM00033962,2008-01-09,TMIN,-50
UPM00033961,2005-09-16,TMIN,149
UPM00033966,2007-01-17,TMIN,-26
UPM00033961,2006-02-14,TMAX,-51
UPM00033961,2005-10-30,TMAX,84
UPM00033962,2005-12-13,TMAX,88
UPM00033962,2008-08-31,TMIN,96
UPM00033966,2007-05-31,TMAX,314
UPM00033961,2006-10-30,TMIN,83
UPM00033961,2009-06-08,TMAX,264
UPM00033962,2007-08-15,TMIN,182
UPM00033966,2006-05-15,TMAX,225
UPM00033966,2006-05-15,TMIN,95
UPM00033966,2008-04-04,TMIN,62
UPM00033961,2007-05-04,TMAX,160
UPM00033962,2006-12-25,TMAX,50
UPM00033966,2006-09-22,TMIN,131
UPM00033962,2008-02-20,TMIN,-26
UPM00033962,2008-08-31,TMAX,229
UPM00033961,2006-06-02,TMIN,185
UPM00033961,2006-06-02,TMAX,239
UPM00033961,2007-07-26,TMAX,308
UPM00033966,2009-01-18,TMIN,-17
UPM00033966,2008-12-16,TMIN,-45
UPM00033962,2005-04-14,TMAX,224
UPM00033962,2005-04-14,TMIN,115
UPM00033966,2005-08-02,TMAX,325
UPM00033962,2005-01-11,TMIN,2
UPM00033966,2008-08-09,TMAX,307
UPM00033961,2006-11-28,TMIN,56
UPM00033962,2005-02-25,TMAX,68
UPM00033966,2007-02-12,TMIN,23
UPM00033962,2008-01-02,TMIN,-32
UPM00033962,2007-06-17,TMAX,326
UPM00033966,2006-12-12,TMAX,33
UPM00033966,2006-12-12,TMIN,-3
UPM00033961,2006-04-06,TMAX,107
UPM00033966,2005-07-21,TMAX,293
UPM00033962,2005-01-05,TMAX,37
UPM00033961,2007-10-16,TMIN,32
UPM00033962,2007-11-15,TMAX,228
UPM00033962,2006-11-14,TMIN,19
UPM00033962,2006-03-25,TMIN,-28
UPM00033962,2006-11-09,TMIN,48
UPM00033962,2008-07-14,TMIN,147
UPM00033962,2008-07-14,TMAX,316
UPM00033962,2007-11-15,TMIN,11
UPM00033961,2009-04-27,TMAX,175
UPM00033961,2006-02-05,TMAX,-16
UPM00033962,2006-06-26,TMAX,304
UPM00033962,2006-06-26,TMIN,183
UPM00033966,2005-06-15,TMIN,121
UPM00033962,2005-11-15,TMIN,40
UPM00033962,2005-11-24,TMAX,56
UPM00033962,2005-03-03,TMIN,-20
UPM00033962,2005-03-03,TMAX,-4
UPM00033966,2006-05-13,TMIN,79
UPM00033962,2009-02-27,TMIN,-27
UPM00033962,2005-02-25,TMIN,10
UPM00033966,2006-02-14,TMAX,13
UPM00033962,2008-12-16,TMAX,19
UPM00033961,2005-08-27,TMIN,184
UPM00033961,2008-06-23,TMAX,273
UPM00033966,2005-12-01,TMAX,114
UPM00033962,2008-03-23,TMIN,61
UPM00033962,2006-03-03,TMIN,10
UPM00033966,2006-11-23,TMAX,173
UPM00033961,2009-04-27,TMIN,81
UPM00033962,2007-01-05,TMIN,-44
UPM00033966,2005-12-13,TMAX,92
UPM00033962,2009-04-20,TMAX,137
UPM00033966,2007-11-09,TMIN,-17
UPM00033966,2005-12-01,TMIN,75
UPM00033961,2006-09-08,TMIN,130
UPM00033962,2007-02-21,TMAX,95
UPM00033961,2005-09-28,TMAX,214
UPM00033962,2007-08-09,TMIN,177
UPM00033966,2005-08-02,TMIN,160
UPM00033966,2006-01-14,TMIN,-114
UPM00033966,2009-04-02,TMAX,158
UPM00033962,2005-07-16,TMIN,185
UPM00033966,2005-11-28,TMAX,201
UPM00033962,2008-03-23,TMAX,170
UPM00033962,2006-04-25,TMIN,-22
UPM00033966,2008-07-16,TMIN,164
UPM00033962,2006-09-02,TMIN,130
UPM00033966,2006-12-17,TMAX,179
UPM00033961,2005-11-28,TMAX,159
UPM00033966,2006-12-18,TMAX,98
UPM00033966,2008-05-12,TMIN,38
UPM00033962,2005-09-08,TMIN,99
UPM00033966,2007-05-30,TMAX,290
UPM00033966,2007-04-16,TMAX,98
UPM00033966,2005-02-02,TMIN,-39
UPM00033966,2005-07-20,TMIN,150
UPM00033962,2006-03-28,TMIN,5
UPM00033961,2006-08-06,TMAX,305
UPM00033962,2008-07-23,TMIN,228
UPM00033966,2006-06-15,TMIN,116
UPM00033962,2008-08-20,TMIN,200
UPM00033966,2005-04-19,TMAX,144
UPM00033966,2008-02-26,TMAX,115
UPM00033962,2008-09-08,TMAX,288
UPM00033961,2006-09-22,TMIN,155
UPM00033966,2005-04-19,TMIN,114
UPM00033962,2007-12-06,TMIN,43
UPM00033961,2006-10-23,TMIN,130
UPM00033966,2008-02-26,TMIN,0
UPM00033966,2008-12-16,TMAX,13
UPM00033966,2007-05-14,TMIN,96
UPM00033962,2008-07-23,TMAX,342
UPM00033966,2007-04-16,TMIN,19
UPM00033962,2005-01-05,TMIN,-18
UPM00033966,2006-03-12,TMAX,175
UPM00033966,2006-10-11,TMAX,188
UPM00033962,2006-11-02,TMAX,154
UPM00033961,2008-04-17,TMIN,97
UPM00033962,2007-07-13,TMIN,205
UPM00033962,2005-02-07,TMIN,-64
UPM00033962,2008-09-17,TMIN,122
UPM00033966,2007-05-30,TMIN,157
UPM00033966,2006-12-18,TMIN,10
UPM00033961,2005-09-20,TMIN,176
UPM00033962,2008-11-20,TMIN,13
UPM00033961,2008-07-10,TMIN,180
UPM00033962,2007-03-05,TMAX,46
UPM00033961,2008-07-10,TMAX,256
UPM00033962,2008-08-10,TMAX,315
UPM00033961,2006-04-16,TMIN,71
UPM00033962,2007-03-05,TMIN,27
UPM00033966,2006-12-03,TMAX,107
UPM00033961,2008-03-26,TMAX,75
UPM00033966,2008-12-15,TMIN,-33
UPM00033962,2005-02-08,TMIN,-150
UPM00033962,2005-02-08,TMAX,-39
UPM00033962,2008-02-13,TMIN,-57
UPM00033961,2005-04-08,TMAX,98
UPM00033961,2008-03-26,TMIN,44
UPM00033966,2006-10-11,TMIN,38
UPM00033962,2006-05-06,TMIN,95
UPM00033962,2006-02-01,TMAX,24
UPM00033961,2008-01-31,TMIN,-84
UPM00033962,2006-02-01,TMIN,-24
UPM00033961,2008-04-17,TMAX,168
UPM00033962,2005-03-11,TMAX,4
UPM00033962,2007-05-11,TMAX,239
UPM00033962,2005-03-11,TMIN,-81
UPM00033961,2008-11-19,TMAX,84
UPM00033961,2006-07-17,TMAX,245
UPM00033961,2005-01-20,TMIN,-6
UPM00033966,2006-10-16,TMIN,56
UPM00033961,2009-04-15,TMIN,89
UPM00033961,2006-01-03,TMIN,22
UPM00033966,2006-12-19,TMAX,68
UPM00033962,2007-10-23,TMIN,139
UPM00033966,2005-02-19,TMIN,32
UPM00033962,2005-05-15,TMIN,30
UPM00033961,2006-02-14,TMIN,-125
UPM00033962,2005-05-15,TMAX,209
UPM00033966,2005-09-15,TMIN,120
UPM00033962,2008-07-19,TMIN,193
UPM00033961,2006-10-06,TMAX,235
UPM00033966,2006-11-12,TMAX,101
UPM00033961,2009-03-29,TMAX,112
UPM00033966,2007-10-29,TMIN,91
UPM00033962,2008-03-18,TMIN,105
UPM00033962,2005-01-26,TMAX,83
UPM00033962,2006-07-26,TMIN,150
UPM00033962,2005-01-26,TMIN,24
UPM00033961,2005-07-19,TMIN,209
UPM00033962,2005-09-08,TMAX,267
UPM00033962,2008-11-04,TMAX,142
UPM00033966,2007-04-07,TMIN,55
UPM00033966,2009-01-11,TMAX,-82
UPM00033962,2008-11-04,TMIN,113
UPM00033962,2007-03-14,TMIN,12
UPM00033962,2005-02-03,TMIN,4
UPM00033961,2008-11-19,TMIN,-25
UPM00033961,2007-05-04,TMIN,71
UPM00033961,2005-09-29,TMIN,189
UPM00033961,2009-04-21,TMIN,52
UPM00033961,2005-09-29,TMAX,220
UPM00033961,2005-12-04,TMIN,-8
UPM00033966,2005-02-25,TMAX,113
UPM00033961,2006-09-22,TMAX,213
UPM00033962,2009-02-25,TMAX,-8
UPM00033966,2005-02-25,TMIN,7
UPM00033962,2009-02-25,TMIN,-11
UPM00033966,2008-09-22,TMIN,144
UPM00033962,2006-03-09,TMAX,14
UPM00033962,2006-10-28,TMIN,104
UPM00033961,2008-12-30,TMIN,-84
UPM00033962,2008-09-01,TMIN,53
UPM00033962,2005-04-19,TMIN,113
UPM00033961,2007-10-17,TMAX,190
UPM00033962,2005-04-19,TMAX,130
UPM00033966,2006-01-13,TMIN,-49
UPM00033966,2005-09-15,TMAX,281
UPM00033961,2007-03-25,TMAX,65
UPM00033961,2006-10-06,TMIN,146
UPM00033962,2007-06-14,TMIN,106
UPM00033966,2008-12-11,TMIN,-34
UPM00033961,2006-08-13,TMAX,326
UPM00033961,2009-04-24,TMIN,22
UPM00033966,2006-12-19,TMIN,22
UPM00033961,2005-12-04,TMAX,70
UPM00033966,2005-07-08,TMIN,143
UPM00033962,2008-12-16,TMIN,-7
UPM00033966,2005-07-08,TMAX,270
UPM00033962,2007-05-21,TMAX,299
UPM00033966,2009-02-16,TMAX,20
UPM00033961,2007-06-11,TMAX,294
UPM00033961,2007-01-29,TMIN,-39
UPM00033966,2008-01-12,TMIN,-139
UPM00033962,2006-10-06,TMIN,95
UPM00033962,2006-11-15,TMAX,127
UPM00033962,2005-02-24,TMAX,18
UPM00033961,2005-10-03,TMIN,184
UPM00033961,2007-05-10,TMAX,202
UPM00033962,2005-02-24,TMIN,3
UPM00033961,2007-04-24,TMAX,161
UPM00033961,2007-04-03,TMIN,71
UPM00033962,2007-04-07,TMIN,54
UPM00033961,2007-02-02,TMAX,18
UPM00033961,2007-10-30,TMIN,133
UPM00033961,2005-10-03,TMAX,212
UPM00033962,2008-03-21,TMIN,-28
UPM00033961,2007-04-24,TMIN,44
UPM00033961,2005-10-15,TMIN,119
UPM00033962,2006-10-06,TMAX,264
UPM00033962,2006-01-18,TMIN,-48
UPM00033966,2008-03-23,TMAX,171
UPM00033961,2008-10-17,TMIN,106
UPM00033961,2006-01-25,TMAX,-133
UPM00033966,2009-02-25,TMIN,-18
UPM00033962,2005-09-13,TMIN,140
UPM00033966,2006-08-03,TMAX,311
UPM00033962,2006-02-07,TMAX,-106
UPM00033962,2005-09-17,TMIN,172
UPM00033961,2007-05-16,TMAX,207
UPM00033961,2007-06-20,TMAX,314
UPM00033961,2007-06-20,TMIN,217
UPM00033961,2006-02-10,TMIN,-98
UPM00033966,2008-03-23,TMIN,75
UPM00033966,2008-02-25,TMIN,-31
UPM00033961,2005-08-22,TMIN,221
UPM00033962,2006-11-15,TMIN,50
UPM00033961,2006-02-10,TMAX,-20
UPM00033961,2007-05-16,TMIN,160
UPM00033962,2005-09-13,TMAX,300
UPM00033966,2007-04-24,TMIN,2
UPM00033966,2006-06-16,TMIN,101
UPM00033966,2007-04-24,TMAX,148
UPM00033966,2009-02-25,TMAX,-12
UPM00033961,2006-10-31,TMIN,53
UPM00033966,2006-06-22,TMIN,166
UPM00033966,2009-04-27,TMAX,200
UPM00033962,2008-06-16,TMIN,146
UPM00033962,2006-08-01,TMIN,160
UPM00033966,2007-06-25,TMIN,169
UPM00033966,2007-04-28,TMIN,14
UPM00033962,2006-04-02,TMAX,169
UPM00033962,2005-08-01,TMIN,181
UPM00033962,2006-08-01,TMAX,300
UPM00033962,2007-04-20,TMAX,162
UPM00033961,2005-04-14,TMIN,96
UPM00033966,2007-12-03,TMIN,-39
UPM00033966,2005-11-16,TMIN,16
UPM00033962,2007-06-01,TMAX,344
UPM00033962,2007-07-20,TMAX,354
UPM00033961,2008-03-21,TMIN,13
UPM00033961,2008-11-23,TMIN,27
UPM00033966,2006-06-22,TMAX,279
UPM00033962,2007-06-06,TMAX,276
UPM00033966,2007-06-25,TMAX,280
UPM00033966,2006-04-21,TMAX,201
UPM00033962,2007-06-06,TMIN,82
UPM00033962,2005-06-20,TMAX,266
UPM00033962,2005-06-20,TMIN,160
UPM00033962,2005-12-29,TMIN,43
UPM00033966,2007-01-06,TMIN,-44
UPM00033962,2005-12-29,TMAX,113
UPM00033961,2008-11-06,TMIN,58
UPM00033961,2005-07-24,TMAX,285
UPM00033962,2008-06-16,TMAX,289
UPM00033966,2008-07-22,TMAX,336
UPM00033966,2008-07-22,TMIN,138
UPM00033962,2005-03-26,TMIN,-44
UPM00033962,2007-05-18,TMIN,130
UPM00033962,2007-05-18,TMAX,284
UPM00033966,2007-02-13,TMIN,31
UPM00033961,2009-04-09,TMIN,47
UPM00033966,2006-08-03,TMIN,134
UPM00033962,2006-09-29,TMAX,237
UPM00033961,2008-07-13,TMIN,184
UPM00033961,2007-01-24,TMAX,167
UPM00033962,2006-07-28,TMIN,177
UPM00033966,2008-02-19,TMIN,-134
UPM00033961,2005-08-04,TMAX,302
UPM00033962,2008-04-25,TMIN,70
UPM00033961,2006-12-06,TMIN,7
UPM00033961,2008-07-13,TMAX,276
UPM00033961,2008-09-18,TMIN,182
UPM00033966,2009-01-06,TMIN,-121
UPM00033962,2009-04-01,TMIN,45
UPM00033961,2005-08-04,TMIN,229
UPM00033962,2006-11-27,TMIN,12
UPM00033962,2006-08-31,TMAX,278
UPM00033966,2007-11-10,TMAX,123
UPM00033961,2007-01-24,TMIN,69
UPM00033962,2006-11-27,TMAX,96
UPM00033962,2005-05-14,TMIN,54
UPM00033961,2006-01-25,TMIN,-185
UPM00033961,2006-10-12,TMAX,165
UPM00033962,2005-01-18,TMAX,36
UPM00033962,2005-01-18,TMIN,22
UPM00033966,2005-01-10,TMIN,0
UPM00033961,2006-10-09,TMIN,142
UPM00033962,2005-01-03,TMAX,80
UPM00033961,2009-03-03,TMIN,-18
UPM00033962,2006-07-28,TMAX,304
UPM00033962,2006-11-23,TMAX,149
UPM00033961,2006-08-08,TMIN,225
UPM00033962,2006-09-16,TMIN,96
UPM00033962,2005-03-04,TMIN,-24
UPM00033961,2006-07-02,TMAX,225
UPM00033966,2007-11-10,TMIN,-9
UPM00033961,2007-01-31,TMAX,-37
UPM00033961,2008-03-23,TMIN,74
UPM00033962,2005-03-04,TMAX,3
UPM00033962,2009-04-01,TMAX,159
UPM00033962,2008-12-02,TMIN,18
UPM00033961,2009-04-09,TMAX,98
UPM00033966,2005-02-05,TMIN,-58
UPM00033962,2006-11-23,TMIN,10
UPM00033961,2007-04-17,TMIN,28
UPM00033962,2009-04-30,TMIN,71
UPM00033961,2007-02-02,TMIN,12
UPM00033962,2005-12-11,TMAX,-8
UPM00033962,2005-04-15,TMIN,33
UPM00033966,2006-07-25,TMAX,301
UPM00033962,2008-09-26,TMIN,96
UPM00033962,2005-04-15,TMAX,157
UPM00033966,2005-01-13,TMIN,-41
UPM00033962,2005-12-11,TMIN,-10
UPM00033966,2005-02-03,TMIN,-5
UPM00033961,2008-03-19,TMAX,132
UPM00033966,2005-03-26,TMIN,3
UPM00033962,2006-08-27,TMAX,354
UPM00033962,2005-03-09,TMIN,-15
UPM00033962,2005-08-29,TMAX,279
UPM00033966,2007-06-17,TMAX,317
UPM00033966,2006-07-25,TMIN,144
UPM00033966,2005-12-12,TMIN,-39
UPM00033961,2008-02-26,TMAX,100
UPM00033962,2007-05-29,TMAX,314
UPM00033961,2008-07-09,TMAX,290
UPM00033961,2005-11-23,TMIN,-37
UPM00033962,2009-06-04,TMIN,131
UPM00033961,2008-07-09,TMIN,183
UPM00033962,2006-08-31,TMIN,175
UPM00033962,2005-01-03,TMIN,10
UPM00033966,2005-08-26,TMAX,299
UPM00033962,2009-01-13,TMIN,-118
UPM00033961,2006-07-24,TMAX,277
UPM00033961,2007-04-17,TMAX,105
UPM00033962,2005-02-21,TMIN,2
UPM00033961,2006-07-24,TMIN,181
UPM00033962,2007-05-29,TMIN,143
UPM00033961,2006-11-30,TMIN,7
UPM00033961,2006-11-30,TMAX,46
UPM00033962,2005-02-21,TMAX,29
UPM00033961,2006-10-12,TMIN,141
UPM00033961,2006-10-09,TMAX,185
UPM00033966,2007-02-03,TMIN,-82
UPM00033962,2007-04-20,TMIN,23
UPM00033966,2007-03-04,TMAX,111
UPM00033966,2006-11-28,TMAX,70
UPM00033966,2005-10-24,TMAX,244
UPM00033961,2007-04-16,TMIN,52
UPM00033961,2007-04-16,TMAX,103
UPM00033966,2005-10-24,TMIN,62
UPM00033966,2007-08-22,TMAX,357
UPM00033961,2005-01-26,TMIN,22
UPM00033961,2007-05-11,TMAX,232
UPM00033961,2005-12-07,TMAX,145
UPM00033966,2006-11-29,TMAX,47
UPM00033966,2006-05-08,TMIN,106
UPM00033962,2009-03-30,TMIN,36
UPM00033961,2005-01-26,TMAX,42
UPM00033962,2008-10-24,TMAX,153
UPM00033966,2006-05-02,TMAX,130
UPM00033966,2005-01-20,TMAX,67
UPM00033966,2006-05-02,TMIN,65
UPM00033966,2005-01-20,TMIN,-26
UPM00033962,2006-07-15,TMIN,202
UPM00033961,2006-03-29,TMAX,87
UPM00033961,2008-06-25,TMIN,203
UPM00033961,2007-02-11,TMIN,31
UPM00033961,2009-06-02,TMIN,166
UPM00033962,2005-06-15,TMIN,130
UPM00033962,2008-07-17,TMAX,266
UPM00033962,2008-07-17,TMIN,180
UPM00033966,2008-12-24,TMIN,-14
UPM00033961,2009-06-02,TMAX,249
UPM00033962,2007-05-31,TMAX,329
UPM00033961,2008-10-14,TMIN,96
UPM00033966,2008-10-14,TMIN,43
UPM00033962,2008-07-20,TMIN,179
UPM00033966,2005-09-29,TMIN,95
UPM00033966,2007-05-24,TMAX,305
UPM00033962,2005-08-19,TMIN,200
UPM00033966,2005-11-06,TMIN,68
UPM00033966,2006-11-29,TMIN,27
UPM00033961,2008-01-23,TMIN,2
UPM00033962,2009-03-04,TMIN,-24
UPM00033962,2006-05-16,TMIN,78
UPM00033961,2005-12-12,TMAX,50
UPM00033962,2006-02-24,TMIN,-15
UPM00033966,2005-01-12,TMAX,125
UPM00033962,2006-09-20,TMAX,244
UPM00033962,2005-11-10,TMAX,100
UPM00033961,2008-02-01,TMIN,-31
UPM00033962,2007-03-31,TMIN,17
UPM00033961,2005-02-21,TMAX,36
UPM00033961,2007-11-15,TMAX,96
UPM00033962,2005-03-12,TMIN,-99
UPM00033966,2007-10-17,TMAX,93
UPM00033966,2006-01-26,TMIN,-171
UPM00033961,2007-11-15,TMIN,22
UPM00033962,2006-11-24,TMIN,29
UPM00033966,2006-05-17,TMIN,79
UPM00033961,2006-01-08,TMAX,-20
UPM00033962,2009-02-04,TMIN,-14
UPM00033966,2005-01-12,TMIN,24
UPM00033962,2005-07-03,TMAX,278
UPM00033966,2008-07-26,TMIN,207
UPM00033962,2008-07-20,TMAX,320
UPM00033966,2007-04-03,TMIN,48
UPM00033966,2007-12-05,TMAX,137
UPM00033966,2007-12-05,TMIN,51
UPM00033962,2008-10-24,TMIN,13
UPM00033962,2006-08-20,TMAX,367
UPM00033962,2005-06-21,TMAX,236
UPM00033961,2005-04-19,TMIN,109
UPM00033966,2008-10-06,TMIN,132
UPM00033962,2005-06-21,TMIN,140
UPM00033966,2007-05-24,TMIN,166
UPM00033961,2008-03-04,TMIN,52
UPM00033961,2008-01-03,TMIN,-49
UPM00033966,2008-07-26,TMAX,316
UPM00033961,2005-04-19,TMAX,140
UPM00033966,2007-10-19,TMIN,53
UPM00033966,2005-09-29,TMAX,239
UPM00033961,2007-02-11,TMAX,75
UPM00033962,2005-12-19,TMIN,-8
UPM00033961,2008-04-14,TMIN,96
UPM00033961,2006-05-26,TMAX,235
UPM00033961,2006-08-17,TMAX,330
UPM00033962,2008-02-01,TMIN,-49
UPM00033966,2006-02-28,TMIN,3
UPM00033966,2006-06-06,TMIN,129
UPM00033966,2007-01-27,TMIN,10
UPM00033962,2006-06-10,TMIN,147
UPM00033961,2006-08-16,TMIN,241
UPM00033962,2006-03-12,TMAX,162
UPM00033966,2006-11-18,TMIN,-1
UPM00033961,2006-11-16,TMIN,47
